Title,Channel,Duration,URL
"A Debtor to Mercy Alone (Metropolitan Tabernacle)","Martijn de Groot",3 minutes 8 seconds,https://www.youtube.com/watch?v=hw035wZC3kk
"Blest Be the Tie That Binds","Martijn de Groot",3 minutes 1 seconds,https://www.youtube.com/watch?v=hVGE2R2wq5w
"A Mighty Fortress Is Our God","Martijn de Groot",4 minutes 17 seconds,https://www.youtube.com/watch?v=68XlFK4UIiU
"God Moves in a Mysterious Way","Martijn de Groot",5 minutes 8 seconds,https://www.youtube.com/watch?v=znmZswr2J2w
"Jesus, I My Cross Have Taken","Martijn de Groot",4 minutes 27 seconds,https://www.youtube.com/watch?v=BGGEgkxmAQI
"O for a Heart to Praise My God","Martijn de Groot",2 minutes 18 seconds,https://www.youtube.com/watch?v=gokVQYTCWYQ
"A Christian Home","Martijn de Groot",4 minutes 36 seconds,https://www.youtube.com/watch?v=3yJ5L4SmqD8
"A Debtor to Mercy Alone","Martijn de Groot",3 minutes 4 seconds,https://www.youtube.com/watch?v=EitJ0J6WsmM
"A Mighty Fortress Is Our God","Martijn de Groot",4 minutes 7 seconds,https://www.youtube.com/watch?v=De1rRCr-Ano
"Amazing Grace (Grace Community Church)","Martijn de Groot",2 minutes 18 seconds,https://www.youtube.com/watch?v=qEmH9zGkmOI
"Praise Him! Praise Him!","Martijn de Groot",3 minutes 31 seconds,https://www.youtube.com/watch?v=5ClPWsk8Cy4
"Tis So Sweet to Trust in Jesus (11 am, webstream)","Panoplyimaging",3 minutes 15 seconds,https://www.youtube.com/watch?v=baNf4niHk7s
"The Old Rugged Cross  (11am, webstream)","Panoplyimaging",5 minutes 13 seconds,https://www.youtube.com/watch?v=Y4MlwNJOQTA
"What a Friend We Have in Jesus (11 AM webstream)","Panoplyimaging",3 minutes,https://www.youtube.com/watch?v=Zsp5exNyd94
"Trust and Obey (8:45 AM- hymn)","Panoplyimaging",2 minutes 48 seconds,https://www.youtube.com/watch?v=zcMQ0RiQrtE
"Day By Day • Congregational","Daniel Baptist",2 minutes 44 seconds,https://www.youtube.com/watch?v=7gcu4gv8yK4
"Sweet Hour of Prayer (v2 acapella); First Methodist Houston, 1/8/2023","Panoplyimaging",4 minutes 14 seconds,https://www.youtube.com/watch?v=VjR010ou-G0
"Jesus Paid It All","Martijn de Groot",3 minutes 7 seconds,https://www.youtube.com/watch?v=IrQ7NNeqhcQ
"Just As I Am","Martijn de Groot",4 minutes 22 seconds,https://www.youtube.com/watch?v=AfgG1REtF9c
"My Hope Is Built on Nothing Less (Grace Community Church)","Martijn de Groot",3 minutes 10 seconds,https://www.youtube.com/watch?v=u2jPVdl_Bh8
"Near the Cross","Martijn de Groot",2 minutes 31 seconds,https://www.youtube.com/watch?v=BPaAopnX_sg
"It Is Well with My Soul (Grace Community Church)","Martijn de Groot",5 minutes 1 seconds,https://www.youtube.com/watch?v=h32qcka7DW0
"How Great Thou Art (Grace Community Church)","Martijn de Groot",5 minutes 25 seconds,https://www.youtube.com/watch?v=urI-ZJfUHdM
"Great Is Thy Faithfulness (Grace Community Church)","Martijn de Groot",4 minutes 21 seconds,https://www.youtube.com/watch?v=ALHSjbTK_jE
"Count Your Blessings • Congregational","Daniel Baptist",2 minutes 48 seconds,https://www.youtube.com/watch?v=pLtMtaKae-4
"At The Cross • Congregational","Daniel Baptist",2 minutes 40 seconds,https://www.youtube.com/watch?v=n-gLugCb2v4
"Rock of Ages","Martijn de Groot",2 minutes 54 seconds,https://www.youtube.com/watch?v=HWI65nGzLYY
