Title,Channel,Duration,URL
"Omemma  | Chandler Moore | Live In Los Angeles (Official Music Video)","TRIBL",11 minutes 27 seconds,https://www.youtube.com/watch?v=85B_DpmMunk
"Bidemi Olaoba and Mercy Chinwo - Give Me Chance (Official Audio)","Bidemi Olaoba",4 minutes 17 seconds,https://www.youtube.com/watch?v=ahiy9DgSyoI
"Yadah - How Can I Forget? (Official Audio)","Yadah",3 minutes 19 seconds,https://www.youtube.com/watch?v=-a6PCxczh4k
"Dancing Around Medley","Nathaniel Bassey - Topic",11 minutes 44 seconds,https://www.youtube.com/watch?v=4_trroYl8d4
"Onos - Thank You For Being Jehovah (Official Audio)","OnosVEVO",3 minutes 43 seconds,https://www.youtube.com/watch?v=J_cPDUfPsrA
"We will be many ft Lawrence Oyor, Moses Akoh || Sounds Of Salem","Prophet Joel Ogebe",3 minutes 15 seconds,https://www.youtube.com/watch?v=POHXsztJpMM
"What A Mighty God We Serve","Hezekiah Walker - Topic",10 minutes 15 seconds,https://www.youtube.com/watch?v=Oa0OVROu7x0
"High Praise","Tosin Bee - Topic",27 minutes 51 seconds,https://www.youtube.com/watch?v=jucF0lme2P4
"Oil On My Head (Official Video) - EBEN","OfficialEben",2 minutes 36 seconds,https://www.youtube.com/watch?v=p6L4aQ38lH0
"Jubilee Worship - Atmosphere Shift  (feat. Phil Thompson)","Jubilee Worship",5 minutes 27 seconds,https://www.youtube.com/watch?v=q6OLbE_FBhQ
"Firm Foundation (He Won’t) [feat. Chandler Moore & Cody Carnes] | Maverick City Music | TRIBL","TRIBL",8 minutes 40 seconds,https://www.youtube.com/watch?v=uOP4s8fOEm0
"Neon Adejo-Eze Ebube II/Grace found me (LIVE)","Neon ADEJO",7 minutes 10 seconds,https://www.youtube.com/watch?v=-pNWoWl9taA
"Oluwatosin (Jesus Is Enough) Tkeyz Ft. SteveHills [ visualizer ]","Tkeyz Music",4 minutes 26 seconds,https://www.youtube.com/watch?v=2u08HbxWnuc
